start_date,end_date,description,verified,source
2016-11-26,2017-01-02,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2015 (Takwim Persekolahan 2016)
2017-03-18,2017-03-26,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 5/2016 (Takwim Persekolahan 2017)
2017-05-27,2017-06-11,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 5/2016 (Takwim Persekolahan 2017)
2017-08-26,2017-09-03,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 5/2016 (Takwim Persekolahan 2017)
2017-11-25,2018-01-01,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 5/2016 (Takwim Persekolahan 2017)
2018-03-17,2018-03-25,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2017 (Takwim Persekolahan 2018)
2018-06-09,2018-06-24,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2017 (Takwim Persekolahan 2018)
2018-08-18,2018-08-26,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2017 (Takwim Persekolahan 2018)
2018-11-24,2018-12-31,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 8/2017 (Takwim Persekolahan 2018)
2019-03-23,2019-03-31,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2018 (Takwim Persekolahan 2019)
2019-05-25,2019-06-09,Mid-Year Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2018 (Takwim Persekolahan 2019)
2019-08-10,2019-08-18,Term 2 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2018 (Takwim Persekolahan 2019)
2019-11-23,2019-12-31,Year-End Break,true,Surat Pekeliling Ikhtisas KPM Bil. 10/2018 (Takwim Persekolahan 2019)
2020-03-14,2020-03-22,Term 1 Break,true,Surat Pekeliling Ikhtisas KPM Bil. 7/2019 & Pindaan Takwim Persekolahan 2020
2020-07-25,2020-08-02,Mid-Year Break (Pindaan COVID),true,KPM Pindaan Takwim Persekolahan 2020 (Kenyataan Media 23 Jun 2020)
2020-12-19,2021-01-19,Year-End Break (Pindaan COVID),true,KPM Pindaan Takwim Persekolahan 2020 (Kenyataan Media 23 Jun 2020)
2021-03-27,2021-04-04,Term 1 Break,true,Surat Siaran KPM Bil. 10/2020 (Takwim Persekolahan 2021)
2021-05-29,2021-06-13,Mid-Year Break,true,Surat Siaran KPM Bil. 10/2020 (Takwim Persekolahan 2021)
2021-07-17,2021-07-25,Term 2 Break,true,Surat Siaran KPM Bil. 10/2020 (Takwim Persekolahan 2021)
2021-09-11,2021-09-19,Term 3 Break,true,Surat Siaran KPM Bil. 10/2020 (Takwim Persekolahan 2021)
2021-12-11,2021-12-31,Term 3 End Break,true,Surat Siaran KPM Bil. 10/2020 (Takwim Persekolahan 2021)
2022-02-26,2022-03-20,Year-End Break (Academic Year 2021/2022),true,KPM Kenyataan Media Pindaan Takwim 2021/2022
2022-06-04,2022-06-12,Term 1 Break,true,Surat Siaran KPM Bil. 1/2022 (Takwim Persekolahan Sesi 2022/2023)
2022-09-03,2022-09-11,Term 2 Break,true,Surat Siaran KPM Bil. 1/2022 (Takwim Persekolahan Sesi 2022/2023)
2022-12-10,2022-12-31,Term 3 Break,true,Surat Siaran KPM Bil. 1/2022 (Takwim Persekolahan Sesi 2022/2023)
2023-02-18,2023-03-19,Year-End Break (Academic Year 2022/2023),true,Surat Siaran KPM Bil. 1/2022 (Takwim Persekolahan Sesi 2022/2023)
2023-04-22,2023-04-30,Term 1 Break,true,Surat Siaran KPM Bil. 4/2023 (Takwim Persekolahan Sesi 2023/2024)
2023-05-27,2023-06-04,Term 1 Mid Break,true,Surat Siaran KPM Bil. 4/2023 (Takwim Persekolahan Sesi 2023/2024)
2023-08-26,2023-09-03,Term 2 Break,true,Surat Siaran KPM Bil. 4/2023 (Takwim Persekolahan Sesi 2023/2024)
2023-12-16,2024-01-01,Term 3 Break,true,Surat Siaran KPM Bil. 4/2023 (Takwim Persekolahan Sesi 2023/2024)
2024-02-10,2024-03-10,Year-End Break (Academic Year 2023/2024),true,Surat Siaran KPM Bil. 4/2023 (Takwim Persekolahan Sesi 2023/2024)
2024-05-25,2024-06-02,Term 1 Break,true,Surat Siaran KPM Bil. 2/2024 (Takwim Persekolahan Sesi 2024/2025)
2024-09-14,2024-09-22,Term 2 Break,true,Surat Siaran KPM Bil. 2/2024 (Takwim Persekolahan Sesi 2024/2025)
2024-12-21,2024-12-29,Term 3 Break,true,Surat Siaran KPM Bil. 2/2024 (Takwim Persekolahan Sesi 2024/2025)
2025-01-18,2025-02-16,Year-End Break (Academic Year 2024/2025),true,Surat Siaran KPM Bil. 2/2024 (Takwim Persekolahan Sesi 2024/2025)
2025-05-24,2025-06-01,Term 1 Break,true,Surat Siaran KPM (Takwim Persekolahan Sesi 2025/2026)
2025-09-13,2025-09-21,Term 2 Break,true,Surat Siaran KPM (Takwim Persekolahan Sesi 2025/2026)
2025-12-20,2026-01-11,Year-End Break,true,Surat Siaran KPM (Takwim Persekolahan Sesi 2025/2026)
2026-03-21,2026-03-29,Term 1 Break,true,KPM Kalendar Persekolahan 2026
2026-05-23,2026-06-07,Mid-Year Break,true,KPM Kalendar Persekolahan 2026
2026-08-22,2026-08-30,Term 2 Break,true,KPM Kalendar Persekolahan 2026
2026-11-21,2026-12-31,Year-End Break,true,KPM Kalendar Persekolahan 2026
